County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
WORTH,GA,17.43,26.79,35.67
HAWAII,HI,11.87,18.47,26.28
HONOLULU,HI,5.70,10.21,16.14
KALAWAO,HI,25.00,25.00,25.00
KAUAI,HI,6.25,12.72,18.86
MAUI,HI,6.57,11.16,17.58
ADAIR,IA,4.92,14.41,20.64
ADAMS,IA,5.75,8.77,20.57
ALLAMAKEE,IA,5.93,13.76,24.94
APPANOOSE,IA,9.38,18.51,29.71
AUDUBON,IA,7.73,14.53,26.28
BENTON,IA,6.50,10.50,17.33
BLACK HAWK,IA,9.95,17.32,25.04
BOONE,IA,3.66,10.89,16.91
BREMER,IA,4.25,7.90,13.17
BUCHANAN,IA,6.98,11.61,19.06
BUENA VISTA,IA,9.39,17.08,30.15
BUTLER,IA,6.65,11.27,20.29
CALHOUN,IA,10.07,16.24,23.40
CARROLL,IA,5.11,9.44,18.06
CASS,IA,9.25,18.05,26.17
CEDAR,IA,3.01,7.57,13.13
CERRO GORDO,IA,7.94,13.98,21.52
CHEROKEE,IA,5.38,13.65,21.43
CHICKASAW,IA,3.78,9.73,17.85
CLARKE,IA,11.04,17.55,29.17
CLAY,IA,9.91,17.98,27.03
CLAYTON,IA,4.92,13.88,19.87
CLINTON,IA,7.85,15.64,23.17
CRAWFORD,IA,11.50,17.54,26.02
DALLAS,IA,3.51,6.50,10.57
DAVIS,IA,10.34,16.67,24.03
DECATUR,IA,13.08,24.90,34.32
DELAWARE,IA,5.18,14.10,20.83
DES MOINES,IA,11.08,18.35,25.60
DICKINSON,IA,4.09,10.42,17.01
DUBUQUE,IA,7.22,12.30,18.10
EMMET,IA,7.91,18.33,27.39
FAYETTE,IA,6.95,14.64,22.79
FLOYD,IA,10.17,18.01,26.01
FRANKLIN,IA,8.90,17.94,27.95
FREMONT,IA,6.53,15.70,24.47
GREENE,IA,6.53,14.18,21.47
GRUNDY,IA,3.73,9.36,16.00
GUTHRIE,IA,7.07,12.65,21.41
HAMILTON,IA,4.58,10.00,18.29
HANCOCK,IA,6.16,11.39,18.78
HARDIN,IA,5.03,12.33,21.43
HARRISON,IA,7.32,13.94,20.37
HENRY,IA,8.31,15.18,25.18
HOWARD,IA,8.32,13.13,21.86
HUMBOLDT,IA,8.11,17.19,25.46
IDA,IA,7.83,12.92,21.99
IOWA,IA,5.76,11.15,19.13
JACKSON,IA,7.72,14.48,21.46
JASPER,IA,6.10,13.16,23.92
JEFFERSON,IA,7.40,14.95,30.12
